,TOKEN,Sum,Average,Min,Max,Count
35,GAINZ,0.04281934290142053,0.008563868580284106,-0.25,0.5428193429014205,5.0
36,BOYZ,-0.25,-0.25,-0.25,-0.25,1.0
37,$CMF,1.0950586547036125,0.27376466367590313,-0.25,0.8450586547036125,4.0
38,FROYO,1.5,1.5,1.5,1.5,1.0
39,ULAND,1.4117523363558666,0.20167890519369522,-0.25,0.8777336061668097,7.0
40,CP,4.472701348778478,0.23540533414623568,-0.25,1.4096916435573876,19.0
41,ML,-0.25,-0.25,-0.25,-0.25,1.0
42,PRX,0.4529439344149305,0.1509813114716435,-0.25,0.4529439344149305,3.0
43,RIDERS,-0.25,-0.25,-0.25,-0.25,1.0
44,PURPLEFLOKI,-0.25,-0.25,-0.25,-0.25,1.0
45,PIE,0.14466721649993153,0.03616680412498288,-0.25,0.39466721649993153,4.0
46,GAMMA,-0.04727280229870451,-0.015757600766234836,-0.25,0.25,3.0
47,MNTTBSC,-0.5,-0.25,-0.25,-0.25,2.0
48,$ONLY,0.0099644946240397,0.003321498208013233,-0.25,0.25,3.0
49,SNT,0.5317292578778225,0.2658646289389113,0.25,0.28172925787782255,2.0
50,TDG,2.5510335732314697,0.04182022251199131,-0.25,0.6995659213987755,61.0
51,HUH,4.835096793622018,0.5372329770691131,-0.25,2.18112455413208,9.0
52,CU,0.28077550644069205,0.07019387661017301,-0.25,0.25,4.0
53,CB,0.7688309667300497,0.06989372424818634,-0.25,0.41203206551655436,11.0
54,CST,1.8748452602417451,0.20831614002686058,-0.25,1.369313809108816,9.0
55,FMV,0.6484720071010588,0.04323146714007058,-0.25,0.607609140367743,15.0
56,TSY,41.24742875706665,6.874571459511109,0.005083485938403243,40.238691789699125,6.0
57,METAFARM,3.436369126599822,0.8590922816499555,0.25,2.265268591110987,4.0
58,GS1,-0.25,-0.25,-0.25,-0.25,1.0
59,CAKESWAP,0.7129734708735254,0.1018533529819322,-0.25,0.5316134283965819,7.0
60,IGO,1.0490436456904328,0.1311304557113041,-0.25,0.39596417556108343,8.0
61,MAIR,0.4617656731569202,0.06596652473670288,-0.25,0.38854564278915904,7.0
62,DOGE-1,0.07147846964308946,0.014295693928617893,-0.25,0.5714784696430895,5.0
63,APX,-0.5,-0.25,-0.25,-0.25,2.0
64,SCP,-0.2403484759517719,-0.06008711898794297,-0.25,0.25,4.0
65,MEB,0.2105904867072086,0.07019682890240286,-0.25,0.25,3.0
66,SOE,0.2962721582137743,0.05925443164275486,-0.25,0.2962721582137743,5.0
67,WALMETA,3.7840464854260203,0.11825145266956313,-0.25,3.1269273320092905,32.0
68,MPC,0.25,0.125,0.0,0.25,2.0
69,METAWORLD,1.0050454338200447,0.1256306792275056,-0.25,0.7840472809940704,8.0
70,CA,-0.23314241764576205,-0.05828560441144051,-0.25,0.25,4.0
71,FLQ,-0.04583621214688405,-0.011459053036721012,-0.25,0.25,4.0
72,TPV,-0.25,-0.25,-0.25,-0.25,1.0
73,ROGAN,4.183623808130275,0.38032943710275224,-0.25,1.7596701374081891,11.0
74,HKSM,1.587188941441054,0.17635432682678379,-0.25,0.901685022331564,9.0
75,GREEN,-0.25,-0.25,-0.25,-0.25,1.0
76,ASGARD,-0.41962275071354427,-0.013987425023784809,-0.25,0.4460448604266456,30.0
77,MNFT,-1.0,-0.25,-0.25,-0.25,4.0
78,MVS,-0.25,-0.25,-0.25,-0.25,1.0
79,SANTADASH,3.0049253051331926,0.0653244631550694,-0.25,1.1985473113412488,46.0
80,TRNDZ,1.644437471571309,0.1644437471571309,-0.25,0.6790312832710215,10.0
81,BOGDANOFF,0.31998877720768226,0.06399775544153645,-0.25,0.25,5.0
82,SHG,0.014015139251543629,0.0035037848128859073,-0.25,0.26401513925154363,4.0
83,G9,1.665378734468188,0.13878156120568233,-0.25,0.8880746919924654,12.0
84,MGOD,-0.850426860246478,-0.09449187336071978,-0.25,0.25,9.0
85,VDORA,3.525733252810103,0.32052120480091845,-0.25,1.3308142300107235,11.0
86,BULL,0.8833480713306928,0.0552092544581683,-0.25,0.41809471164439804,16.0
87,FLPD,1.412550380647759,0.2354250634412932,-0.25,0.9894960736873648,6.0
88,HPAY,-0.25,-0.25,-0.25,-0.25,1.0
89,RMOG,-0.5,-0.25,-0.25,-0.25,2.0
90,PWG,-0.5,-0.25,-0.25,-0.25,2.0
91,APPLE,2.7421415271918472,0.1192235446605151,-0.25,1.3876990778309797,23.0
92,SPC,-0.25,-0.25,-0.25,-0.25,1.0
93,GM,-0.6890408467652102,-0.09843440668074431,-0.25,0.31095915323478984,7.0
94,INUJUMP,1.2084896581002806,0.6042448290501403,0.25,0.9584896581002806,2.0
95,KODI,-0.25,-0.25,-0.25,-0.25,1.0
96,MOR,0.010615603179692124,0.001769267196615354,-0.25,0.25,6.0
97,DOGEALLY,8.794227993941977,0.5173075290554104,-0.25,3.5229018387971465,17.0
98,MBC,2.525304765313322,0.2805894183681469,-0.25,0.7218358532593565,9.0
99,METO,-0.46289334264744897,-0.02722902015573229,-0.25,0.7321664655077555,17.0
100,ESOL,-0.122899123462611,-0.0245798246925222,-0.25,0.377100876537389,5.0
101,BBNFT,1.5564250294506938,0.19455312868133673,-0.25,0.6520413939624139,8.0
102,SWAP,1.4179086637692817,0.14179086637692817,-0.25,0.702059652543888,10.0
103,SHIBOSHI,1.6026075060297464,0.13355062550247887,-0.25,0.8270885348951671,12.0
104,RUN,-0.21435198761784402,-0.042870397523568804,-0.25,0.285648012382156,5.0
105,CHIKUINU,5.031031383542406,0.17967969226937167,-0.25,2.1253358094276855,28.0
106,GTR,0.2518143341373763,0.12590716706868815,0.0018143341373763056,0.25,2.0
107,GLOW V2,-0.25,-0.25,-0.25,-0.25,1.0
108,HP,-0.75,-0.15,-0.25,0.25,5.0
109,SKYROCKETING,-0.75,-0.25,-0.25,-0.25,3.0
110,DPK,4.629416745197221,0.19289236438321755,-0.25,4.485555761678982,24.0
111,DRUN,-0.25,-0.25,-0.25,-0.25,1.0
112,MRFLOKI,0.9658385469875033,0.08048654558229194,-0.25,1.0323619937604585,12.0
113,SFK,1.2738840993584124,0.2547768198716825,0.0918897987233328,0.4319943006350795,5.0
114,TBR,1.1168802134960645,0.2233760426992129,-0.25,0.6597500772315004,5.0
115,MIZL,0.48300589419753226,0.053667321577503584,-0.25,0.7792824875348925,9.0
116,KVERSE,1.8236554873865378,0.2605222124837911,-0.25,1.0592472930322565,7.0
117,WIZZY,-0.37854502236470267,-0.027038930168907332,-0.25,0.5359321833394639,14.0
118,XXP,0.6638781357516503,0.034940954513244755,-0.25,0.621642256300732,19.0
119,MTK,0.38885554292670044,0.12961851430890015,-0.25,0.38885554292670044,3.0
120,SQC,5.16387844994063,0.6454848062425788,-0.25,4.346724270164624,8.0
121,APEBUSD,-0.5,-0.25,-0.25,-0.25,2.0
122,BREWLABS,-0.25,-0.08333333333333333,-0.25,0.25,3.0
123,GLD,0.0,0.0,0.0,0.0,1.0
124,POR,0.19089964750405453,0.03817992950081091,-0.25,0.6908996475040545,5.0
125,PAY,0.6337789361357903,0.31688946806789514,0.25,0.3837789361357903,2.0
126,CALO,0.6398808335136217,0.31994041675681084,0.25,0.3898808335136217,2.0
127,BTCBR,-1.4035757911164586,-0.061025034396367764,-0.25,0.9239688137147255,23.0
128,SHOO,0.7963739058024604,0.11376770082892292,-0.25,0.6342874116246269,7.0
129,REALLIQ,-0.5,-0.25,-0.25,-0.25,2.0
130,ICEBERG,-0.9938741368433215,-0.14198201954904593,-0.25,0.25,7.0
131,BSTV2,1.2994554642709364,0.3248638660677341,0.25,0.5352679369745561,4.0
132,TMDS,1.8104470057408997,0.07871508720612608,-0.25,0.3191434474694753,23.0
133,MBR,1.413453194503914,0.15705035494487932,-0.25,0.5938391742361524,9.0
134,PHIT,2.0446687343016223,0.14604776673583017,-0.25,1.148125293775654,14.0
135,ZATCOIN,0.7459348086832684,0.08288164540925205,-0.25,0.43704206588715977,9.0
136,CAKEBAKER,0.3832595196326789,0.07665190392653579,-0.25,0.8832595196326789,5.0
137,DRV,-0.09890531848746154,-0.024726329621865384,-0.25,0.25,4.0
138,GMV,0.7544833596154558,0.18862083990386394,0.0013255954070492404,0.2531577642084065,4.0
139,WEBFOUR,8.304453444036941,0.46135852466871896,-0.25,3.6908206008400697,18.0
140,LEA,0.2677360784025571,0.08924535946751903,-0.25,0.2677360784025571,3.0
141,SDOGE,1.2521131677749422,0.07365371575146719,-0.25,1.054890944970747,17.0
142,GMPD,-0.5,-0.25,-0.25,-0.25,2.0
143,IDYP,-0.25,-0.25,-0.25,-0.25,1.0
144,YETI COIN,4.278495983942279,0.1475343442738717,-0.25,1.9411186678127872,29.0
145,BET,1.2702455959773657,0.07939034974858536,-0.25,0.7027129807667967,16.0
146,GOD,1.6605644183012984,0.11861174416437846,-0.25,0.6497696004016296,14.0
147,SAFE,0.4332769646546557,0.028885130976977046,-0.25,0.8176747325275979,15.0
148,KARA,0.6302294422310695,0.15755736055776737,-0.25,0.8802294422310695,4.0
149,FPUMP,-0.24885992596926731,-0.06221498149231683,-0.25,0.25,4.0
150,NMBTC,0.7850782666649383,0.13084637777748973,-0.25,0.40913288950212523,6.0
151,DIQ,1.006812961317883,0.5034064806589414,0.25,0.7568129613178829,2.0
152,MMG,8.182997790695921,4.091498895347961,0.25,7.9329977906959215,2.0
153,METAFLIP,90.98600246351828,4.332666783977061,-0.25,88.0206113092049,21.0
154,AVAXUP,3.028079233392727,0.37850990417409086,-0.25,3.0230215408104857,8.0
155,TAF,-0.25,-0.25,-0.25,-0.25,1.0
156,4MW,3.152903939382554,0.6305807878765108,-0.25,2.505408828552485,5.0
157,SPARK,-2.161203018291122,-0.05687376363924005,-0.25,0.47678176550626084,38.0
158,VOYCE,0.14098903836785692,0.028197807673571385,-0.25,0.6409890383678569,5.0
159,MTD,0.9860423303826544,0.10956025893140604,-0.25,0.5122217969259548,9.0
160,OCTF,-0.9821033178966266,-0.12276291473707833,-0.25,0.26789668210337336,8.0
161,XCB,-0.3060335426335285,-0.02782123114850259,-0.25,0.3025712484199372,11.0
162,MASTER,0.723145721340416,0.12052428689006933,-0.25,1.473145721340416,6.0
163,PLS,1.9104206486682165,0.13645861776201546,-0.25,1.1929381481300816,14.0
164,PETH,1.588682302292155,0.05295607674307183,-0.25,0.8202879811060262,30.0
165,KAC,1.9704427960591855,0.3940885592118371,-0.25,2.4704427960591855,5.0
166,SHENGWEIHU,5.680942320789702,0.2272376928315881,-0.25,1.400297042646957,25.0
167,RBO,-0.25,-0.25,-0.25,-0.25,1.0
168,PEAK,0.23143993807981633,0.03306284829711662,-0.25,0.4064225915584294,7.0
169,METAKNIGHT,0.5347798516173814,0.05347798516173814,-0.25,1.1532744208456536,10.0
170,DUSD,2.915444582051325,0.41649208315018926,-0.25,2.717305988811966,7.0
171,DEUX,-0.5,-0.25,-0.25,-0.25,2.0
172,MTF,3.4306074485189146,0.8576518621297287,0.25,2.543235406815085,4.0
173,SANTAWAR,0.543119231674452,0.07758846166777886,-0.25,0.48448402430922743,7.0
174,ADEN,1.0323357431734896,0.14747653473906994,-0.25,0.5206571577244361,7.0
175,DGMUSK,0.5782676958141417,0.08260967083059167,-0.25,0.4403248920910172,7.0
176,BAIR,0.4128836478070852,0.06881394130118086,-0.25,0.3989158939280878,6.0
177,COAPE,-0.25,-0.25,-0.25,-0.25,1.0
178,METAVEGAS,5.135506454422669,0.1604845767007084,-0.25,1.0964234711646952,32.0
179,RS,1.5748472290706372,0.31496944581412745,-0.25,2.0748472290706372,5.0
180,FPS,0.12730106145540665,0.03182526536385166,-0.25,0.37730106145540665,4.0
181,FA,-0.2426842438465716,-0.04853684876931432,-0.25,0.2573157561534284,5.0
182,XWAP,2.0486671768092197,0.12804169855057623,-0.25,0.7705844533098682,16.0
183,FSINU,1.7415316072571472,0.1935035119174608,-0.25,0.7923844102947466,9.0
184,LSC,0.4249058364759163,0.02360587980421757,-0.25,0.47397103217104986,18.0
185,PLG,-0.3468878792614605,-0.04955541132306578,-0.25,0.6531121207385395,7.0
186,BYTZ,-1.8150722267908992,-0.07260288907163596,-0.25,1.0904848714463657,25.0
187,SHIBAW,0.611920911621975,0.024476836464879,-0.25,1.8585546668764317,25.0
188,FLOKICOKE,1.609856732245056,0.268309455374176,-0.25,0.9054249046174796,6.0
189,WSC,-0.4566178139496838,-0.03261555813926313,-0.25,0.40422121555218016,14.0
190,PUFFSANTA,-2.167079851035364,-0.024349211809386113,-0.25,0.9044833692863816,89.0
191,WST,3.581736912625882,0.2558383509018487,-0.25,1.631828293248105,14.0
192,RMARS,0.9905024922627881,0.09905024922627881,-0.25,0.846717728126247,10.0
193,ICN,0.817961421691739,0.13632690361528985,-0.25,0.5264182550173562,6.0
194,PLT,0.2715225679366763,0.13576128396833814,0.021522567936676285,0.25,2.0
195,BSH,-0.08094665962973391,-0.013491109938288984,-0.25,0.25,6.0
196,TITANS,0.6307184493684442,0.07007982770760492,-0.25,0.5864748986698041,9.0
197,GLOW,2.010809846596928,0.22342331628854759,-0.25,0.5192336979689587,9.0
198,TMT,-0.0012442871982861758,-0.00031107179957154396,-0.25,0.25,4.0
199,ELO INU,-0.14286269398915463,-0.010989437999165741,-0.25,0.7087797127695579,13.0
200,DHR,0.22833504816784267,0.032619292595406094,-0.25,0.4865574586567255,7.0
201,LOUIEDUCKT,0.23634093603078354,0.059085234007695886,-0.25,0.48634093603078354,4.0
202,METAVILLAGE,0.25,0.25,0.25,0.25,1.0
203,COVID19,1.8209132679421436,0.03310751396258443,-0.25,1.9143028036372849,55.0
204,AURORA,7.218071996728206,0.8020079996364673,0.25,3.031344181842307,9.0
205,CGAR,1.2434084936814085,0.2486816987362817,-0.25,1.2434084936814085,5.0
206,OAV,0.35597756311006035,0.015477285352611319,-0.25,0.531199537766728,23.0
207,XTRA,-0.5,-0.25,-0.25,-0.25,2.0
208,NJF,2.683208999915464,0.20640069230118951,-0.25,0.7755293765587699,13.0
209,CTNT,0.25,0.25,0.25,0.25,1.0
210,KIKO,3.3791422444478694,0.3071947494952609,-0.25,1.1453608463721843,11.0
211,ROCK,-0.25,-0.125,-0.25,0.0,2.0
212,MAGACITY,-1.0,-0.25,-0.25,-0.25,4.0
213,SPEP,0.7543647439031365,0.37718237195156823,0.25,0.5043647439031365,2.0
214,SHIBAMOON,-0.75,-0.25,-0.25,-0.25,3.0
215,MEUR,-6.137166973635287,-0.13341667333989754,-0.25,0.3314486507865031,46.0
216,HPL,-1.0,-0.25,-0.25,-0.25,4.0
217,SARS,2.603763639228735,0.17358424261524902,-0.25,0.6781054403300462,15.0
218,FROSTYFLOKI,2.000085960794721,0.2000085960794721,-0.25,0.8514812893924315,10.0
219,DO,0.8951257373732184,0.4475628686866092,0.25,0.6451257373732184,2.0
220,MNEB,0.8843998136575377,0.17687996273150755,-0.25,0.5175021240618165,5.0
221,MBLOX,0.7178732088521914,0.17946830221304785,-0.09289499529586898,0.3107682041480604,4.0
222,USDA,1.41747565691481,0.3543689142287025,0.25,0.6009776936474769,4.0
223,RVZ,0.0031839237201305437,0.0010613079067101812,-0.25,0.25,3.0
224,SQUIDBOUND,-0.5,-0.25,-0.25,-0.25,2.0
225,LCINU,1.2202572923856638,0.12202572923856639,-0.25,0.37916965922000556,10.0
226,THECAT,-0.25,-0.25,-0.25,-0.25,1.0
227,KFR,0.0259958921272605,0.0023632629206600457,-0.25,0.25876780215178896,11.0
228,TRAIN,6.237686146184869,0.15213868649231388,-0.25,5.17054567236753,41.0
229,ERO,0.8798526203604745,0.10998157754505931,-0.25,1.1183678559155286,8.0
230,KUBER,3.6403423253402565,0.5200489036200366,-0.25,3.128996870653252,7.0
231,SZILLA,1.016669206917193,0.25416730172929825,0.25,0.2593041828927839,4.0
232,YOSI,1.2671196804931104,0.1407910756103456,-0.25,1.9414888893990652,9.0
233,DBC,0.55662286664547,0.016867359595317273,-0.25,0.6364996734181141,33.0
234,MILLIONS,0.4825237355882084,0.06031546694852605,-0.25,0.7074544446413584,8.0
235,FORS,6.714365920966132,0.5164896862281639,-0.25,4.957684466045698,13.0
236,WAGMI,2.365253260315712,0.07167434122168825,-0.25,0.5065815825850224,33.0
237,TREASURE,-0.9465029364865414,-0.04507156840412102,-0.25,0.5404742195014745,21.0
238,CHEEMSBILLIONAIRE,4.488355313801399,0.14026110355629373,-0.25,2.2841168356048893,32.0
239,IKA,0.32100779155897463,0.02675064929658122,-0.25,0.391270035841793,12.0
240,SUPE,0.24461153332059782,0.022237412120054346,-0.25,0.3819001459871657,11.0
241,ORKL,1.4991679533757734,0.18739599417197167,-0.25,0.923881981392719,8.0
242,CHIWA,0.8328584649337321,0.20821461623343301,-0.25,1.082858464933732,4.0
243,MINITESLA,0.5997134565106719,0.09995224275177865,-0.25,0.49604302541910095,6.0
244,PLUS,-10.387144261928961,-0.10183474766597021,-0.25,0.9223287329045675,102.0
245,EHB,0.0,0.0,-0.25,0.25,2.0
246,SPIDEYXMAS,-0.75,-0.25,-0.25,-0.25,3.0
247,EPS,0.6441695061025792,0.21472316870085972,-0.25,0.6441695061025792,3.0
248,QUEEN,3.130440023979844,0.22360285885570313,-0.25,2.0568973170209515,14.0
249,ZIOX,0.8282227347377427,0.0487189843963378,-0.25,0.6790659242255725,17.0
250,TPO,1.402592772524362,0.10789175173264323,-0.25,1.7835279560373674,13.0
251,TRUTH,3.0323700732577805,0.6064740146515561,0.25,1.2615912382856331,5.0
252,SNOWFLOKI,-0.5697856533324954,-0.05697856533324954,-0.25,0.42805751273986803,10.0
253,BOLE,-1.6816815459971095,-0.016816815459971095,-0.25,1.0682858394521741,100.0
254,DOG,3.8330713682033473,0.1666552768784064,-0.25,1.408804280379118,23.0
255,INFINITYADA,0.03407014434125777,0.008517536085314442,-0.25,0.28407014434125777,4.0
256,MPL,1.781269003592239,0.11132931272451493,-0.25,0.707752528837772,16.0
257,MESA,0.33432808745105047,0.0668656174902101,-0.25,0.375,5.0
258,CPC,-0.4870134479088617,-0.09740268958177234,-0.25,0.25,5.0
259,DOGEMANIA,4.171229962345556,0.3476024968621297,-0.25,1.3184444523170276,12.0
260,PIGS,0.5189044023244964,0.06486305029056205,-0.25,0.25,8.0
261,ZINAX,-0.5,-0.25,-0.25,-0.25,2.0
262,BOE,-1.5,-0.25,-0.25,-0.25,6.0
263,BLI,2.7484297734584398,0.27484297734584395,0.06366881005059044,0.596278206986226,10.0
264,FLOKIMONK,0.685849339559919,0.3429246697799595,0.25,0.435849339559919,2.0
265,BITV,0.794793588088885,0.13246559801481417,-0.25,0.544171638144918,6.0
266,IOTN,2.8765706951738315,0.11063733442976274,-0.25,0.9482255445072509,26.0
267,SINU,1.6569231235018824,0.2761538539169804,-0.25,1.0042621572716341,6.0
268,CVIP,1.0146964422494842,0.3382321474164947,-0.25,1.0146964422494842,3.0
269,TURT,2.878088716824199,0.15989381760134438,-0.25,0.7696066832888244,18.0
270,FOA,0.30325034068584666,0.07581258517146167,-0.25,0.5532503406858467,4.0
271,MRW,0.16928305806402144,0.05642768602134048,-0.25,0.25,3.0
272,EQUITY,1.3803658210153307,0.27607316420306616,-0.25,0.6273899775709921,5.0
273,TT,0.1300981234549553,0.04336604115165177,-0.25,0.25,3.0
274,ORB,1.4851575800379604,0.1650175088931067,-0.25,0.8343584245530362,9.0
275,FARM,2.4797921297557424,0.27553245886174915,-0.25,1.0483597428683225,9.0
276,MDL,-0.41033752098819565,-0.06838958683136594,-0.25,0.33966247901180435,6.0
277,DEFI,0.6376936662180991,0.10628227770301651,-0.25,0.6353230416858879,6.0
278,MSE,1.7992376537480532,0.052918754522001565,-0.25,1.6586459210634295,34.0
279,PDog,-0.25,-0.25,-0.25,-0.25,1.0
280,ODN,0.37697260762618645,0.1256575358753955,-0.25,0.37697260762618645,3.0
281,WCH,-0.2959946911355922,-0.0164441495075329,-0.25,0.6284023239010978,18.0
282,GOMAX,0.012366527301416075,0.002061087883569346,-0.25,0.25,6.0
283,MINITIGER,1.9381215317313627,0.08075506382214011,-0.25,1.077898511760614,24.0
284,EPW,-0.25,-0.25,-0.25,-0.25,1.0
285,BABYKITTY,7.853089530374908,0.14023374161383764,-0.25,1.5150130535588997,56.0
286,REDPILL,-0.22797543530865316,-0.05699385882716329,-0.25,0.25,4.0
287,APES,0.5982544694916703,0.19941815649722341,-0.25,0.5982544694916703,3.0
288,DOGS,-0.25,-0.25,-0.25,-0.25,1.0
289,MB,0.6770353538253231,0.0677035353825323,-0.25,0.911372886085879,10.0
290,XUSD,0.05585664586032291,0.013964161465080727,-0.25,0.3058566458603229,4.0
291,OCRA,1.7298123259747944,0.17298123259747944,-0.25,1.1162712237763819,10.0
292,SCAR,4.438174584611881,0.1929641123744296,-0.25,1.575510663881511,23.0
293,ZEG,0.7119733198254454,0.3559866599127227,0.25,0.4619733198254454,2.0
294,XSH,0.5358233418958047,0.04121718014583113,-0.25,0.37008464286960185,13.0
295,MEKA,0.74404727042861,0.24801575680953666,0.24404727042860996,0.25,3.0
296,INSTANTXRP,0.7714547498502466,0.1102078214071781,-0.25,0.7600867376326224,7.0
297,SOUL,-0.004695167789573351,-0.0007825279649288919,-0.25,0.49530483221042665,6.0
298,PIRATES,0.8518034894663271,0.04732241608146262,-0.25,0.6174382156297082,18.0
299,MAPES,3.101577061711863,0.443082437387409,-0.25,1.376428299623482,7.0
300,SOLCASH,2.0438822089190727,0.40877644178381456,-0.25,1.752432900574969,5.0
301,CTRAIN,0.027015952668052234,0.005403190533610447,-0.25,0.27701595266805223,5.0
302,SHIELD,-0.5,-0.25,-0.25,-0.25,2.0
303,DOG$,1.0304057316806685,0.10304057316806685,-0.25,0.6452649169679225,10.0
304,OPPA,0.5702228333563659,0.057022283335636595,-0.25,0.7750288913507548,10.0
305,MAST,0.49032876440406103,0.16344292146802034,-0.25,0.49032876440406103,3.0
306,FREN,1.4334948606011835,0.35837371515029587,0.25,0.624713097402217,4.0
